Results for a query:  ministrstvo za javno upravo
Results found in: 96 ms

Frequency  Keywords                          Document                                           Snippets
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
615         ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.371.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo v okviru evidence ... ministrstvo
139         javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.340.html             MINISTRSTVO ZA JAVNO UPRAVO MINISTRSTVO ZA JAVNO UPRAVO  ... MINISTRSTVO ZA ZDRAVJE MINISTRSTVO ZA Z
55          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.348.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
53          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.31.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
34          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.48.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
34          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.2.html               MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
34          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.335.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
37          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.368.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
33          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.63.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
23          javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.653.html                   Ministrstvo za javno upravo Republike Slovenije I ... Javno pooblastilo Javno pooblastilo za določen
31          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.43.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTR
21          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.365.html             MINISTRSTVO ZA JAVNO UPRAVO MINISTRSTVO ZA INFRASTRUKTURO ... MINISTRSTVO ZA KULTURO MINISTRSTVO ZA
48          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.69.html              MINISTRSTVO ZA JAVNO UPRAVO MINISTRSTVO ZA JAVNO UPRAVO  ... MINISTRSTVO ZA JAVNO UPRAVO - Ministrst
42          javno + ministrstvo + upravo      e-uprava.gov.si\e-uprava.gov.si.55.html            Ministrstvo za javno upravo Naslednjih 20 rezultatov ... Ministrstvo za javno upravo Anonimna prijav
15          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.125.html             MINISTRSTVO ZA JAVNO UPRAVO ( 1 ) ... MINISTRSTVO ZA ZUNANJE ZADEVE ... MINISTRSTVO ZA PRAVOSODJE (
23          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.41.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Povprečna bruto .
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.75.html              MINISTRSTVO ZA JAVNO UPRAVO - Ta seznam ... MINISTRSTVO ZA JAVNO UPRAVO , INŠPEKTORAT ZA ... MINISTR
36          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.51.html              Ministrstvo za javno upravo objavi seznam ... ... MINISTRSTVO ZA JAVNO UPRAVO Ocena odprtosti ★★★☆☆
16          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.37.html              MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTRSTVO ZA JAVNO UPRAVO ( 1 ) ... MINISTRSTVO ZA ZDRAVJE
22          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.38.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Povprečna bruto .
33          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.97.html              Ministrstvo za javno upravo objavi seznam ... ... MINISTRSTVO ZA JAVNO UPRAVO Ocena odprtosti ★★★☆☆
17          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.338.html             Ministrstvo za javno upravo objavi seznam ... ... MINISTRSTVO ZA JAVNO UPRAVO - Na podlagi ... MINIS
15          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.74.html              MINISTRSTVO ZA JAVNO UPRAVO MINISTRSTVO ZA GOSPODARSKI ... MINISTRSTVO ZA JAVNO UPRAVO , INŠPEKTORAT
16          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.40.html              MINISTRSTVO ZA JAVNO UPRAVO - V tej ... MINISTRSTVO ZA JAVNO UPRAVO - Ta seznam ... MINISTRSTVO ZA J
24          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.93.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
11          javno + ministrstvo + upravo      evem.gov.si\evem.gov.si.651.html                   Ministrstvo za javno upravo Republike Slovenije I ... javno veljavnimi programi po ... javno veljavn
27          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.90.html              MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
27          javno + ministrstvo + upravo      podatki.gov.si\podatki.gov.si.91.html              Ministrstvo za javno upravo objavi seznam ... ... MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih .
14          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.469.html             MINISTRSTVO ZA JAVNO UPRAVO - Ministrstvo , ... MINISTRSTVO ZA JAVNO UPRAVO ( 1 ) ... javno naročniš
16          javno + upravo + ministrstvo      podatki.gov.si\podatki.gov.si.511.html             Ministrstvo za javno upravo , ki je ... Ministrstvo za javno upravo & lt  ... javno upravo in Transp
10          ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.224.html                   Ministrstvo za javno upravo Republike Slovenije I ... Ministrstvo za okolje in ... Ministrstvo za ob
10          ministrstvo + javno + upravo      evem.gov.si\evem.gov.si.452.html                   Ministrstvo za javno upravo Republike Slovenije I ... ministrstvo , pristojno za ... Ministrstvo za
10          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.201.html             MINISTRSTVO ZA JAVNO UPRAVO ( 7 ) ... MINISTRSTVO ZA KULTURO ARHIV ... MINISTRSTVO ZA FINANCE URAD .
19          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.327.html             Ministrstvo za javno upravo smo tudi letos ... Ministrstvo za javno upravo : Novinarsko središče ...
20          ministrstvo + javno + upravo      podatki.gov.si\podatki.gov.si.374.html             MINISTRSTVO ZA JAVNO UPRAVO - Število zaposlenih ... MINISTRSTVO ZA JAVNO UPRAVO - Uporabniki prorač
