Results for a query:  zakon
Results found in: 35 ms

Frequency  Keywords   Document                                           Snippets
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
319         zakon      evem.gov.si\evem.gov.si.371.html                   zakon Zakon predpisuje naslednje poklice ... zakon Zakon predpisuje naslednje poklice ... zakon Zako
13          zakon      evem.gov.si\evem.gov.si.227.html                   zakon ali uredba določa ... zakon , ter opravlja ... Zakon o sodiščih in ... Zakon o sodiščih ( ...
11          zakon      evem.gov.si\evem.gov.si.224.html                   zakon ( ObrZ ) ... Zakon o zasebnem varovanju ... Zakon o zasebnem varovanju ... Zakon o zasebnem va
9           zakon      e-prostor.gov.si\e-prostor.gov.si.13.html          zakon določa pristojnost Geodetske ... zakon določa organizacijo in ... zakon določa , da ... Zakon
9           zakon      evem.gov.si\evem.gov.si.398.html                   zakon predpisuje , da ... zakon ne določa . ... zakon določa , da ... zakon ( ObrZ ) ... Zakon o spr
8           zakon      evem.gov.si\evem.gov.si.164.html                   zakon , opravljajo kot ... Zakon o visokem šolstvu ... Zakon o visokem šolstvu ... Zakon o organizac
6           zakon      evem.gov.si\evem.gov.si.140.html                   zakon ( ObrZ ) ... Zakon o orožju Pravna ... Zakon o orožju ( ... Zakon o obrambi Kdor ... Zakon o o
6           zakon      evem.gov.si\evem.gov.si.26.html                    zakon ter vprašanjih , ... Zakon o sodelovanju delavcev ... Zakon o nematerializiranih vrednostnih .
6           zakon      evem.gov.si\evem.gov.si.29.html                    zakon , ki ureja ... Zakon opredeljuje kot najbolj ... Zakon opredeljuje dejavnosti , ... Zakon o za
6           zakon      evem.gov.si\evem.gov.si.391.html                   Zakon o zdravstvenem varstvu ... Zakon o urejanju trga ... Zakon o starševskem varstvu ... Zakon o p
6           zakon      evem.gov.si\evem.gov.si.46.html                    Zakon o gospodarskih družbah ... Zakon o gospodarskih družbah ... Zakon o davčnem potrjevanju ... Za
6           zakon      evem.gov.si\evem.gov.si.557.html                   Zakon o zdravstvenem varstvu ... Zakon o zdravstvenem varstvu ... Zakon o semenskem materialu ... Za
6           zakon      evem.gov.si\evem.gov.si.88.html                    Zakon o zdravstvenem varstvu ... Zakon o urejanju trga ... Zakon o starševskem varstvu ... Zakon o p
5           zakon      evem.gov.si\evem.gov.si.11.html                    zakon . Časovna omejitev ... Zakon o urejanju trga ... Zakon o spremembah in ... Zakon o delovnih ra
5           zakon      evem.gov.si\evem.gov.si.172.html                   zakon Za dejavnosti , ... zakon , opravljajo kot ... zakon ( ObrZ ) ... Zakon o gostinstvu Gostinsko
5           zakon      evem.gov.si\evem.gov.si.205.html                   zakon ( ObrZ ) ... Zakon o prevozih v ... Zakon o prevozih v ... Zakon o cestah Izredni ... Zakon o
5           zakon      evem.gov.si\evem.gov.si.276.html                   Zakon o živinoreji Zakon predpisuje naslednje poklice ... Zakon o živinoreji ( ... Zakon o kmetijstv
5           zakon      evem.gov.si\evem.gov.si.406.html                   Zakon o zdravstvenem varstvu ... Zakon o urejanju trga ... Zakon o starševskem varstvu ... Zakon o p
5           zakon      evem.gov.si\evem.gov.si.485.html                   zakon Za dejavnosti , ... zakon , opravljajo kot ... zakon ( ObrZ ) ... Zakon o gostinstvu Gostinsko
5           zakon      evem.gov.si\evem.gov.si.486.html                   zakon ( ObrZ ) ... Zakon o graditvi objektov ... Zakon o graditvi objektov ... Zakon o gozdovih Za .
5           zakon      evem.gov.si\evem.gov.si.553.html                   zakon ( ObrZ ) ... Zakon o zdravstvenem varstvu ... Zakon o zdravstvenem varstvu ... Zakon o semensk
4           zakon      e-prostor.gov.si\e-prostor.gov.si.20.html          zakon opredelil tudi transformacijo ... Zakon o evidentiranju nepremičnin ... Zakon o državnem geode
4           zakon      evem.gov.si\evem.gov.si.101.html                   zakon V primeru , ... zakon ( ObrZ ) ... Zakon o graditvi objektov ... Zakon o graditvi objektov
4           zakon      evem.gov.si\evem.gov.si.128.html                   zakon in imeti dovoljenje ... zakon ( ObrZ ) ... Zakon o kemikalijah Pravne ... Zakon o kemikalijah
4           zakon      evem.gov.si\evem.gov.si.129.html                   zakon Za dejavnosti , ... zakon ( ObrZ ) ... Zakon o varstvu okolja ... Zakon o varstvu okolja
4           zakon      evem.gov.si\evem.gov.si.152.html                   zakon ( ObrZ ) ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon o gostinstvu (
4           zakon      evem.gov.si\evem.gov.si.155.html                   zakon ( ObrZ ) ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon o gostinstvu (
4           zakon      evem.gov.si\evem.gov.si.157.html                   zakon ( ObrZ ) ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon o gostinstvu (
4           zakon      evem.gov.si\evem.gov.si.159.html                   zakon ( ObrZ ) ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon o gostinstvu (
4           zakon      evem.gov.si\evem.gov.si.161.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.162.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.165.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.166.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.201.html                   Zakon o graditvi objektov ... Zakon o graditvi objektov ... Zakon o gozdovih Za ... Zakon o gozdovih
4           zakon      evem.gov.si\evem.gov.si.202.html                   zakon V primeru , ... zakon ( ObrZ ) ... Zakon o graditvi objektov ... Zakon o graditvi objektov
4           zakon      evem.gov.si\evem.gov.si.249.html                   Zakon o živinoreji ( ... Zakon o veterinarstvu ( ... Zakon o veterinarskih merilih ... Zakon o kmeti
4           zakon      evem.gov.si\evem.gov.si.272.html                   Zakon o kmetijstvu Za ... Zakon o kmetijstvu ( ... Zakon o gozdovih Za ... Zakon o gozdovih (
4           zakon      evem.gov.si\evem.gov.si.274.html                   Zakon o zdravstvenem varstvu ... Zakon o zdravstvenem varstvu ... Zakon o kmetijstvu Za ... Zakon o
4           zakon      evem.gov.si\evem.gov.si.304.html                   Zakon o zdravstvenem varstvu ... Zakon o zdravstvenem varstvu ... Zakon o semenskem materialu ... Za
4           zakon      evem.gov.si\evem.gov.si.358.html                   zakon prometa s temi ... Zakon o trgovini ( ... Zakon o meroslovju ( ... Zakon o kemikalijah (
4           zakon      evem.gov.si\evem.gov.si.472.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.474.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.475.html                   zakon ( ObrZ ) ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon o gostinstvu (
4           zakon      evem.gov.si\evem.gov.si.476.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.477.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.478.html                   Zakon o prijavi prebivališča ... Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon
4           zakon      evem.gov.si\evem.gov.si.48.html                    Zakon o izvršbi in ... Zakon o gospodarskih družbah ... Zakon o gospodarskih družbah ... Zakon o fin
4           zakon      evem.gov.si\evem.gov.si.481.html                   zakon , opravljajo kot ... zakon ( ObrZ ) ... Zakon o gostinstvu Gostinsko ... Zakon o gostinstvu (
4           zakon      evem.gov.si\evem.gov.si.556.html                   Zakon o semenskem materialu ... Zakon o semenskem materialu ... Zakon o kmetijstvu in ... Zakon o km
4           zakon      evem.gov.si\evem.gov.si.570.html                   Zakon o živinoreji Pred ... Zakon o živinoreji ( ... Zakon o ohranjanju narave ... Zakon o ohranjanj
4           zakon      evem.gov.si\evem.gov.si.574.html                   zakon in imeti dovoljenje ... zakon ( ObrZ ) ... Zakon o kemikalijah Pravne ... Zakon o kemikalijah
4           zakon      evem.gov.si\evem.gov.si.645.html                   Zakon o zdravilih ( ... Zakon o trgovini ( ... Zakon o meroslovju ( ... Zakon o lekarniški dejavnost
4           zakon      evem.gov.si\evem.gov.si.7.html                     Zakon o spodbujanju skladnega ... Zakon o finančni upravi ... Zakon o dohodnini ( ... Zakon o davku
4           zakon      evem.gov.si\evem.gov.si.73.html                    zakon , ki ureja ... zakon , ki ureja ... Zakon o delovnih razmerjih ... Zakon o delovnih razmerjih
4           zakon      evem.gov.si\evem.gov.si.86.html                    Zakon o zdravstvenem varstvu ... Zakon o urejanju trga ... Zakon o starševskem varstvu ... Zakon o p
3           zakon      e-prostor.gov.si\e-prostor.gov.si.129.html         Zakon o ugotavljanju katastrskega ... Zakon o ugotavljanju katastrskega ... Zakon o ugotavljanju kat
3           zakon      evem.gov.si\evem.gov.si.133.html                   zakon ( ObrZ ) ... Zakon o prevozu nevarnega ... Zakon o prevozu nevarnega
3           zakon      evem.gov.si\evem.gov.si.141.html                   zakon in imeti dovoljenje ... Zakon o kemikalijah Pravne ... Zakon o kemikalijah (
3           zakon      evem.gov.si\evem.gov.si.158.html                   Zakon o omejevanju uporabe ... Zakon o omejevanju porabe ... Zakon o gostinstvu (
3           zakon      evem.gov.si\evem.gov.si.168.html                   zakon , opravljajo kot ... Zakon o gostinstvu Gostinsko ... Zakon o gostinstvu (
3           zakon      evem.gov.si\evem.gov.si.177.html                   zakon ( ObrZ ) ... Zakon o graditvi objektov ... Zakon o graditvi objektov
3           zakon      evem.gov.si\evem.gov.si.187.html                   zakon in imeti dovoljenje ... Zakon o kemikalijah Pravne ... Zakon o kemikalijah (
3           zakon      evem.gov.si\evem.gov.si.197.html                   zakon Upravnik večstanovanjske hiše ... zakon . Vir : ... zakon ( SZ-1 )
3           zakon      evem.gov.si\evem.gov.si.199.html                   zakon ( ObrZ ) ... Zakon o varstvu okolja ... Zakon o kmetijstvu (
3           zakon      evem.gov.si\evem.gov.si.223.html                   Zakon v 6. členu ... Zakon o izvajanju carinskih ... Zakon o izvajanju carinske
3           zakon      evem.gov.si\evem.gov.si.225.html                   Zakon o občinskem redarstvu ... Zakon o občinskem redarstvu ... Zakon določa pogoje za
3           zakon      evem.gov.si\evem.gov.si.247.html                   Zakon o živinoreji ( ... Zakon o vodah ( ... Zakon o sladkovodnem ribištvu
